Date Added,category,sellerlink,sellerlink-url,sellerstorefront-url,sellerproductcount,sellerratings,sellerdetails,seller business name,businessaddress,Count of seller brands,Max % of negative seller ratings - last 30 days,Max % of negative seller ratings - last 90 days,Max % of negative seller ratings - last 12 months,Hero Product 1 #ratings,Hero Product 2 #ratings,Sample brand name,Sample Brand URL,product_count,rating_percent,total_ratings,business_country,seller_score,email,phone_number
2020-11-15,Garden,Seller 1,Seller 1-link,Seller 1-storefrontlink,"1-16 of over 100,000 results",88% positive in the last 12 months (118 ratings),"Lohas Living Inc James Mazzello US 845 3RD Ave Fl 6 New York NY 10022-6630 +1208-964-6807  Email Address:jadgemaello@gmail.com James Mazzello  US 845 3RD Ave Fl 6 New York NY 10022-6630 +1208-964-6807 EIN: 30-0961431 
The European Commission provides for an Online Dispute Resolution Platform, which you can access here: https://ec.europa.eu/consumers/odr/

Please see the following link for the nationally appointed Alternative Dispute Resolution bodies contact details: https://webgate.ec.europa.eu/od...",Business Name:Lohas Living Inc,411 THEODORE FREMD AVESTE 206 SOUTHRyeNY10580-1410US,16,17,11,12,5873,4957,Visit the YAMAZAKI Store,https://www.amazon.de/-/en/stores/YAMAZAKI/page/B9975298-FF1F-4EE2-BD7B-53AE47A44D8A?ref_=ast_bln,1.0,88.0,118.0,USA,1221.1000000000001,jadgemaello@gmail.com,10022-6630
2020-11-15,Garden,Seller 2,Seller 2-link,Seller 2-storefrontlink,,90% positive in the last 12 months (566 ratings),"Herzlich Willkommen im Amazon Shop von 1a-Handelsagentur. Für Fragen stehen wir Ihnen gerne unter der 039932-829721 zur Verfügung. Sie können auch direkt eine E-Mail an info@1a-handelsagentur.de schreiben. Anschrift
1a-handelsagentur.de
Andre Burmeister
Lindenallee 2
17213 Malchow Kontakt
Tel.: 039932 - 829721 
Fax.: 039932 – 81417 
E-Mail: info@1a-handelsagentur.de
Internet: www.1a-handelsagentur.de

Umsatzsteueridentnummer: DE 223758473 
Wir berechnen Ihnen folgende Versandkosten:(DE) Deutschland 0,00 E...",Business Name:1a-Handelsagentur,1a HandelsagenturLindenallee 2MalchowMecklenburg17213DE,0,2,2,9,0,0,Visit the tesa Store,https://www.amazon.de/-/en/stores/tesa/page/12E699E9-FA20-4BC9-A12B-8A9CDE0C446C?ref_=ast_bln,,90.0,566.0,Germany,163.3,info@1a-handelsagentur.de,039932-829721
2020-11-15,Garden,Seller 6,Seller 6-link,Seller 6-storefrontlink,1-16 of 28 results,,7830jeff is committed to providing each customer with the highest standard of customer service.,,,13,0,0,0,3284,2944,Strata,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Strata,1.0,,,Other,623.0,,
2020-11-15,Garden,Seller 15,Seller 15-link,Seller 15-storefrontlink,1-16 of 919 results,97% positive in the last 12 months (116 ratings),"Impressum
 
 Gesetzliche Anbieterkennung:
 
 Oliver Mills
 9:PM
 An der Bundesstrasse 26
 33829 Borgholzhausen
 Deutschland
 Telefon: 015140008562
 E-Mail: webmaster@9pm-store.de
 USt-IdNr.: DE215752000
 
 Wir sind seit 01.08.2015 Mitglied der Initiative ""FairCommerce"".
 Nähere Informationen hierzu finden Sie unter .fair-commerce.de. Alternative Streitbeilegung: 
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa.eu/consumers/odr/

Unter diesem L...",Business Name:Oliver Mills,Kaiserstr.12Borgholzhausen33829DE,15,0,0,3,1446,921,Unbekannt,https://www.amazon.de/-/en/Unbekannt/b/ref=bl_dp_s_web_19533614031?ie=UTF8&node=19533614031&field-lbr_brands_browse-bin=Unbekannt,1.0,97.0,116.0,Germany,388.20000000000005,webmaster@9pm-store.de,"26
 33829"
2020-11-15,Garden,Seller 20,Seller 20-link,Seller 20-storefrontlink,,76% positive in the last 12 months (3721 ratings),"Impressum: ABC-Schnäppchenmarkt GmbH 
 Jösser Weg 10
 32469 Petershagen-Windheim
 Deutschland 
 
 Tel.: 0570591155
 Fax: 0570591156
 E-Mail: abc-markt@web.de 
 
 Registergericht: Amtsgericht Bad Oeynhausen 
 Registernummer: HRB 10862 
 
 Geschäftsführer: Thomas Wiebke 
 
 Umsatzsteuer-Identifikationsnummer gemäß § 27 a Umsatzsteuergesetz: DE 213823102  Den anklickbaren Link zur Plattform der EU-Kommission zur Online Streitbeilegung erreichen Sie, indem Sie auf den Nachfolgenden Punkt ""Mehr lesen"" klicken Wir...",Business Name:ABC-Schnäppchenmarkt GmbH,Jösser Weg10Petershagen32469DE,0,18,20,20,0,0,Visit the TFA Dostmann Store,https://www.amazon.de/-/en/stores/TFA+Dostmann+GmbH+%26+Co+KG/page/EAF5F066-D2DC-42AB-8D1D-9E5898BCA26D?ref_=ast_bln,,76.0,3721.0,Germany,300.05,abc-markt@web.de,"10
 32469"
2020-11-15,Garden,Seller 21,Seller 21-link,Seller 21-storefrontlink,1-16 of 123 results,,AllSparesEire is committed to providing each customer with the highest standard of customer service.,Business Name:All Terrain Ireland,WEXFORDGOREY46 MAIN STY25T2N4IE,14,0,0,0,837,787,Mountfield Outdoor Spares,https://www.amazon.de/-/en/Mountfield-Outdoor-Spares/b/ref=bl_dp_s_web_9440109031?ie=UTF8&node=9440109031&field-lbr_brands_browse-bin=Mountfield+Outdoor+Spares,1.0,,,Other,162.60000000000002,,
2020-11-15,Garden,Seller 22,Seller 22-link,Seller 22-storefrontlink,,92% positive in the last 12 months (181 ratings),"Firmenwortlaut: GURU2016GmbH
 Geschäftsführung: Stefan Schnidar, MSc.
 Firmenanschrift:Packer Hauptstraße 8
 A-8582 Rosental an der Kainach
 
 eMail: (Support, Versand)support@bauguru.at
 Mo-Fr 08:00 Uhr -12:00 Uhr
 eMail: (Geschäftsführung)office@bauguru.at
 Web: bauguru.at
 
 Bankverbindung: Raiffeisenbank Lipizzanerheimat
 IBAN: AT78 3848 7000 0038 6060 BIC:   RZSTAT2G487
 
 Geschäftszweig:Handelsgewerbe
 Zuständiges Gericht: Landesgericht Graz
 Firmenbuch:  466186v
 Registernummer:  586378
USt-Steuer-ID: AT...",Business Name:GURU 2016 GmbH,"BAUGURU, GURU 2016 GmbHWarenannahme Vogl Baumarkt GmbHRosental an der KainachSteiermark8582AT",0,0,7,6,0,0,Visit the tesa Store,https://www.amazon.de/-/en/stores/tesa/page/12E699E9-FA20-4BC9-A12B-8A9CDE0C446C?ref_=ast_bln,,92.0,181.0,Other,147.05,support@bauguru.at,78 3848 7000 0038 6060
2020-11-15,Garden,Seller 23,Seller 23-link,Seller 23-storefrontlink,"1-16 of over 40,000 results",100% positive in the last 12 months (10 ratings),Bestof Floral is committed to providing each customer with the highest standard of customer service.,Business Name:MADEWELL SUPPLY INC,90 BROAD ST 2ND FLOORNEW YORKNY10004-2205US,16,0,0,0,10538,8293,Visit the Seville Classics Store,https://www.amazon.de/-/en/stores/Seville+Classics/page/E8D49E5C-1784-4FF1-A92A-C8B52AF7F532?ref_=ast_bln,1.0,100.0,10.0,USA,2033.8000000000002,,
2020-11-15,Garden,Seller 24,Seller 24-link,Seller 24-storefrontlink,"1-16 of over 100,000 results",88% positive in the last 12 months (3134 ratings),"Blumenbecker Industriebedarf GmbH Sudhoferweg 99-107 59269 Beckum Geschäftsführer: Dipl. Kfm. Richard Mayer, Olaf Lingnau Handelsregister: Amtsgericht Münster HRB 7020 Ust-IdNr: DE 214 670 936 Telefon: 02521/8406-0 E-Mail: bib.beckum@blumenbecker.com   
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa.eu/consumers/odr/

Unter diesem Link finden Sie die Kontaktdaten der offiziellen Streitbeilegungsstellen: https://webgate.ec.europa...",Business Name:Blumenbecker Industriebedarf GmbH,Sudhoferweg 99-107BeckumNRW59269DE,15,15,12,10,30139,11182,Visit the tesa Store,https://www.amazon.de/-/en/stores/tesa/page/12E699E9-FA20-4BC9-A12B-8A9CDE0C446C?ref_=ast_bln,1.0,88.0,3134.0,Germany,4421.0,bib.beckum@blumenbecker.com,99-107 59269
2020-11-15,Garden,Seller 25,Seller 25-link,Seller 25-storefrontlink,"1-16 of over 3,000 results",97% positive in the last 12 months (610 ratings),"Herzlich willkommen auf unserer Internetpräsents.
     
     
 
     Wir sind ein alt eingesessenes Blumen-Fachgeschäft im Herzen von Korntal.
     

     Unser Ziel im Internet ist es, ihnen eine gute Qualität kombiniert mit kompetenter Beratung zukommen zu lassen.
     

     
     

     Lassen Sie sich bei der Verschönerung ihres Gartens bei einem Rundgang durch unsere virtuellen Verkaufsräume inspirieren und kompetent beraten.
     

      
     

     Unsere Schwerpunkte im Internet:
      
     

     Rasensamen
     

     Blumenzwiebeln
     

     Sämereien allgemein

     BIO Sämereien
     

     Pflanzenschutz von Bayer
     

     
     Chrysal D...",Business Name:Jörg Müller & Petra Scheerer GbR,Miranderstr.21Korntal-Münchingen70825DE,15,3,1,2,3286,3079,Neudorff,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Neudorff,1.0,97.0,610.0,Germany,812.7,,
